['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V18;;745027,9579;6944505,272;745027,9742;6944505,255
V19;;744947,5304;6944568,044;744947,5341;6944568,059
V20;;744909,3659;6944668,253;744909,3748;6944668,278
V21;;744850,3666;6944703,999;744850,3571;6944704,026
V22;;744801,2743;6944637,614;744801,2928;6944637,669
V23;;744715,7937;6944606,101;744715,8142;6944606,16
V24;;744710,6586;6944516,869;744710,6729;6944516,927
V25;;744799,7113;6944440,588;744799,7232;6944440,624
V26;;744659,6355;6944369,938;744659,6545;6944369,991
V27;;744601,7903;6944461,985;744603,0966;6944461,605
V28;;744704,4773;6944714,32;744704,4781;6944714,369
V29;;744692,8685;6944781,46;744692,875;6944781,506
V30;;744591,9167;6944851,067;744591,909;6944851,045
V31;;744387,3585;6944783,028;744387,361;6944782,996
V32;;744500,9923;6944802,764;744500,9932;6944802,758
V33;;744566,6245;6944688,75;744566,6149;6944688,784
V34;;744477,3539;6944739,324;744477,1801;6944739,488
['G51', 'G48', 'G32', 'G21', 'G18', 'G80', 'G74', 'G63'];;;;;
V1;;744489,7013;6944624,904;744489,6758;6944624,956
V2;;744358,7815;6944595,184;744358,736;6944595,225
V3;;744292,6963;6944529,675;744292,6446;6944529,697
V4;;744379,7481;6944471,721;744379,6964;6944471,762
V5;;744375,652;6944361,039;744375,6141;6944361,106
V6;;744365,5312;6944281,721;744365,4823;6944281,783
V7;;744506,2745;6944317,47;744506,248;6944317,532
V8;;744640,4996;6944241,526;744640,5095;6944241,599
V9;;744709,4118;6944282,426;744709,4169;6944282,495
V10;;744648,4473;6944171,163;744648,4497;6944171,232
V11;;744775,984;6944099,923;744776,0061;6944099,946
V12;;744851,9392;6943999,335;744851,9517;6943999,337
V13;;744958,5692;6944107,768;744958,6138;6944107,754
V14;;744983,8451;6944177,189;744983,8694;6944177,169
V15;;744873,2021;6944252,737;744873,2112;6944252,756
V16;;744961,3628;6944365,315;744961,3927;6944365,329
V17;;744895,8993;6944433,284;744895,9053;6944433,308
V18;;745027,9507;6944505,257;745027,9742;6944505,255
V19;;744947,5263;6944568,028;744947,5341;6944568,059
V20;;744909,3632;6944668,234;744909,3748;6944668,278
V21;;744850,3657;6944703,978;744850,3571;6944704,026
V22;;744801,2751;6944637,596;744801,2928;6944637,669
V23;;744715,7972;6944606,083;744715,8142;6944606,16
V24;;744710,6623;6944516,854;744710,6729;6944516,927
V25;;744799,712;6944440,576;744799,7232;6944440,624
V26;;744659,6409;6944369,928;744659,6545;6944369,991
V27;;744601,7975;6944461,971;744603,0966;6944461,605
V28;;744704,4813;6944714,299;744704,4781;6944714,369
V29;;744692,8729;6944781,436;744692,875;6944781,506
V30;;744591,9238;6944851,038;744591,909;6944851,045
V31;;744387,3723;6944783,001;744387,361;6944782,996
V32;;744501,0031;6944802,739;744500,9932;6944802,758
V33;;744566,6331;6944688,729;744566,6149;6944688,784
V34;;744477,3654;6944739,301;744477,1801;6944739,488
['G53', 'G56', 'G30', 'G23', 'G17', 'G14', 'G75', 'G67'];;;;;
V1;;744489,6979;6944624,914;744489,6758;6944624,956
V2;;744358,7738;6944595,192;744358,736;6944595,225
V3;;744292,6874;6944529,679;744292,6446;6944529,697
V4;;744379,7422;6944471,725;744379,6964;6944471,762
V5;;744375,646;6944361,04;744375,6141;6944361,106
V6;;744365,5251;6944281,72;744365,4823;6944281,783
V7;;744506,2721;6944317,473;744506,248;6944317,532
V8;;744640,5074;6944241,527;744640,5095;6944241,599
V9;;744709,4212;6944282,429;744709,4169;6944282,495
V10;;744648,4564;6944171,162;744648,4497;6944171,232
V11;;744775,9978;6944099,922;744776,0061;6944099,946
